Country,Happiness score,GDP,Corruption,Healthy life expectancy
Other,5.389200220973346,0.5167628862612982,0.41711669616588615,0.5900712652661425
Australia,7.2264499445,0.7842486605517988,0.5227206616424531,0.895750312210395
Canada,7.2352750025,0.7795957792104923,0.5113963260635573,0.8921083741299048
Germany,7.0451999855,0.7888541853149267,0.5146283738153481,0.8497351562878255
India,3.89932497125,0.42268423102649855,0.5001414925797452,0.4720430368511973
UK,7.1181250592500005,0.7564950986315577,0.40698800601865276,0.8590482623208773
USA,6.91714999775,0.8218906936535739,0.5016875243577146,0.7461596968985983
