Country,Happiness score,Year,latitude,longitude,GDP,Healthy life expectancy,Corruption
Senegal,0.26,2021,14.497401,-14.452362,8.118,59.802,0.801
Albania,0.25,2021,41.153332,20.168331,9.52,68.999,0.901
Macedonia [FYROM],0.25,2021,41.608635,21.745275,9.693,65.474,0.905
Ghana,0.25,2021,7.946527,-1.023194,8.58,57.586,0.848
Niger,0.25,2021,17.607789,8.081666,7.098,53.78,0.693
Turkmenistan,0.24,2021,38.969719,59.556278,9.629,62.409,0.888
Gambia,0.24,2021,13.443182,-15.310139,7.686,55.16,0.746
Benin,0.24,2021,9.30769,2.315834,8.087,54.713,0.661
Laos,0.24,2021,19.85627,102.495496,8.947,58.968,0.658
Bangladesh,0.24,2021,23.684994,90.356331,8.454,64.8,0.682
Guinea,0.23,2021,9.945587,-9.696645,7.838,55.008,0.766
South Africa,0.23,2021,-30.559482,22.937506,9.403,56.904,0.86
Turkey,0.23,2021,38.963745,35.243322,10.24,67.199,0.776
Pakistan,0.22,2021,30.375321,69.345116,8.458,58.709,0.787
Morocco,0.22,2021,31.791702,-7.09262,8.903,66.208,0.801
Venezuela,0.22,2021,6.42375,-66.58973,9.073,66.7,0.827
Georgia,0.22,2021,42.315407,43.356892,9.585,64.3,0.655
Algeria,0.22,2021,28.033886,1.659626,9.342,66.005,0.752
Ukraine,0.21,2021,48.379433,31.16558,9.436,64.902,0.924
Iraq,0.21,2021,33.223191,43.679291,9.24,60.583,0.875
Gabon,0.21,2021,-0.803689,11.609444,9.603,59.962,0.84
Burkina Faso,0.21,2021,12.238333,-1.561593,7.678,54.151,0.748
Cambodia,0.21,2021,12.565679,104.990963,8.36,62.0,0.843
Mozambique,0.2,2021,-18.665695,35.529562,7.158,54.706,0.684
Nigeria,0.2,2021,9.081999,8.675277,8.533,50.102,0.878
Mali,0.19,2021,17.570692,-3.996166,7.744,51.969,0.827
Iran,0.19,2021,32.427908,53.688046,9.584,66.3,0.714
Uganda,0.18,2021,1.373333,32.290275,7.677,56.101,0.855
Liberia,0.18,2021,6.428055,-9.429499,7.288,56.498,0.85
Kenya,0.18,2021,-0.023559,37.906193,8.361,60.704,0.825
Tunisia,0.17,2021,33.886917,9.537499,9.266,67.201,0.87
Lebanon,0.17,2021,33.854721,35.862285,9.626,67.355,0.898
Namibia,0.17,2021,-22.95764,18.49041,9.161,56.799,0.847
Palestinian Territories,0.16,2021,31.952162,35.233154,8.485,62.25,0.821
Myanmar [Burma],0.15,2021,21.913965,95.956223,8.541,59.302,0.66
Jordan,0.15,2021,30.585164,36.238414,9.182,67.0,0.705
Chad,0.14,2021,15.454166,18.732207,7.364,48.478,0.807
Sri Lanka,0.14,2021,7.873054,80.771797,9.47,67.299,0.863
Swaziland,0.14,2021,-26.522503,31.465866,9.065,50.833,0.708
Comoros,0.13,2021,-11.875001,43.872219,8.031,57.349,0.781
Egypt,0.13,2021,26.820553,30.802498,9.367,61.998,0.795
Ethiopia,0.13,2021,9.145,40.489673,7.694,59.0,0.761
Mauritania,0.13,2021,21.00789,-10.940835,8.542,57.161,0.731
Madagascar,0.13,2021,-18.766947,46.869107,7.396,59.305,0.803
Togo,0.11,2021,8.619543,0.824782,7.362,54.914,0.772
Zambia,0.11,2021,-13.133897,27.849332,8.145,55.809,0.823
Sierra Leone,0.09,2021,8.460555,-11.779889,7.434,51.651,0.866
India,0.09,2021,20.593684,78.96288,8.755,60.633,0.774
Burundi,0.08,2021,-3.373056,29.918886,6.635,53.4,0.607
Yemen,0.07,2021,15.552727,48.516388,7.578,57.122,0.8
Tanzania,0.07,2021,-6.369028,34.888822,7.876,57.999,0.577
Haiti,0.07,2021,18.971187,-72.285215,7.477,55.7,0.721
Malawi,0.07,2021,-13.254308,34.301525,6.958,57.948,0.729
