Country,Happiness score,Year,latitude,longitude,GDP,Healthy life expectancy,Corruption
Moldova,0.33,2019,47.411631,28.369885,0.685,0.739,0.0
Libya,0.33,2019,26.3351,17.228331,1.044,0.673,0.152
Montenegro,0.33,2019,42.708678,19.37439,1.051,0.871,0.08
Tajikistan,0.31,2019,38.861034,71.276093,0.493,0.718,0.144
Croatia,0.31,2019,45.1,15.2,1.155,0.914,0.022
Hong Kong,0.31,2019,22.396428,114.109497,1.438,1.122,0.287
Dominican Republic,0.31,2019,18.735693,-70.162651,1.015,0.779,0.101
Bosnia and Herzegovina,0.3,2019,43.915886,17.679076,0.945,0.845,0.006
Turkey,0.3,2019,38.963745,35.243322,1.183,0.808,0.106
Malaysia,0.29,2019,4.210484,101.975766,1.221,0.828,0.024
Belarus,0.29,2019,53.709807,27.953389,1.067,0.789,0.142
Greece,0.28,2019,39.074208,21.824312,1.181,0.999,0.034
Mongolia,0.28,2019,46.862496,103.846656,0.948,0.667,0.038
Macedonia [FYROM],0.28,2019,41.608635,21.745275,0.983,0.838,0.034
Nigeria,0.28,2019,9.081999,8.675277,0.696,0.245,0.041
Kyrgyzstan,0.27,2019,41.20438,74.766098,0.551,0.723,0.023
Turkmenistan,0.27,2019,38.969719,59.556278,1.052,0.657,0.028
Algeria,0.27,2019,28.033886,1.659626,1.002,0.785,0.114
Morocco,0.26,2019,31.791702,-7.09262,0.801,0.782,0.076
Azerbaijan,0.26,2019,40.143105,47.576927,1.043,0.769,0.182
Lebanon,0.26,2019,33.854721,35.862285,0.987,0.815,0.027
Indonesia,0.26,2019,-0.789275,113.921327,0.931,0.66,0.028
China,0.26,2019,35.86166,104.195397,1.029,0.893,0.1
Vietnam,0.26,2019,14.058324,108.277199,0.741,0.851,0.073
Bhutan,0.24,2019,27.514162,90.433601,0.813,0.604,0.167
Cameroon,0.24,2019,7.369722,12.354722,0.549,0.331,0.037
Bulgaria,0.23,2019,42.733883,25.48583,1.092,0.815,0.004
Ghana,0.23,2019,7.946527,-1.023194,0.611,0.486,0.04
C?te d'Ivoire,0.22,2019,7.539989,-5.54708,0.569,0.232,0.09
Nepal,0.21,2019,28.394857,84.124008,0.446,0.677,0.089
Jordan,0.21,2019,30.585164,36.238414,0.837,0.815,0.13
Benin,0.21,2019,9.30769,2.315834,0.393,0.397,0.082
Congo [Republic],0.2,2019,-0.228021,15.827659,0.673,0.508,0.093
Gabon,0.2,2019,-0.803689,11.609444,1.057,0.571,0.055
Laos,0.2,2019,19.85627,102.495496,0.764,0.551,0.164
South Africa,0.18,2019,-30.559482,22.937506,0.96,0.469,0.055
Albania,0.18,2019,41.153332,20.168331,0.947,0.874,0.027
Venezuela,0.18,2019,6.42375,-66.58973,0.96,0.805,0.047
Cambodia,0.18,2019,12.565679,104.990963,0.574,0.637,0.062
Palestinian Territories,0.18,2019,31.952162,35.233154,0.657,0.672,0.066
Senegal,0.18,2019,14.497401,-14.452362,0.45,0.571,0.072
Somalia,0.18,2019,5.152149,46.199616,0.0,0.268,0.27
Namibia,0.17,2019,-22.95764,18.49041,0.879,0.477,0.056
Niger,0.17,2019,17.607789,8.081666,0.138,0.366,0.102
Burkina Faso,0.16,2019,12.238333,-1.561593,0.331,0.38,0.113
Armenia,0.16,2019,40.069099,45.038189,0.85,0.815,0.064
Iran,0.16,2019,32.427908,53.688046,1.1,0.785,0.125
Guinea,0.16,2019,9.945587,-9.696645,0.38,0.375,0.086
Georgia,0.15,2019,42.315407,43.356892,0.886,0.752,0.164
Gambia,0.15,2019,13.443182,-15.310139,0.308,0.428,0.167
Kenya,0.15,2019,-0.023559,37.906193,0.512,0.581,0.053
Mauritania,0.15,2019,21.00789,-10.940835,0.57,0.489,0.088
Mozambique,0.15,2019,-18.665695,35.529562,0.204,0.39,0.138
Tunisia,0.15,2019,33.886917,9.537499,0.921,0.815,0.055
Bangladesh,0.15,2019,23.684994,90.356331,0.562,0.723,0.143
Iraq,0.14,2019,33.223191,43.679291,1.043,0.574,0.089
Congo [DRC],0.14,2019,-4.038333,21.758664,0.094,0.357,0.053
Mali,0.14,2019,17.570692,-3.996166,0.385,0.308,0.052
Sierra Leone,0.14,2019,8.460555,-11.779889,0.268,0.242,0.045
Sri Lanka,0.13,2019,7.873054,80.771797,0.949,0.831,0.047
Myanmar [Burma],0.13,2019,21.913965,95.956223,0.71,0.555,0.172
Chad,0.13,2019,15.454166,18.732207,0.35,0.192,0.078
Ukraine,0.13,2019,48.379433,31.16558,0.82,0.739,0.01
Ethiopia,0.12,2019,9.145,40.489673,0.336,0.532,0.1
Swaziland,0.12,2019,-26.522503,31.465866,0.811,0.0,0.135
Uganda,0.11,2019,1.373333,32.290275,0.332,0.443,0.06
Egypt,0.11,2019,26.820553,30.802498,0.913,0.644,0.067
Zambia,0.1,2019,-13.133897,27.849332,0.578,0.426,0.087
Togo,0.1,2019,8.619543,0.824782,0.275,0.41,0.085
India,0.09,2019,20.593684,78.96288,0.755,0.588,0.085
Liberia,0.09,2019,6.428055,-9.429499,0.073,0.443,0.033
Comoros,0.09,2019,-11.875001,43.872219,0.274,0.505,0.078
Madagascar,0.08,2019,-18.766947,46.869107,0.274,0.555,0.041
Lesotho,0.07,2019,-29.609988,28.233608,0.489,0.168,0.093
Burundi,0.07,2019,-3.373056,29.918886,0.046,0.38,0.18
Zimbabwe,0.06,2019,-19.015438,29.154857,0.366,0.433,0.089
Haiti,0.05,2019,18.971187,-72.285215,0.323,0.449,0.11
Botswana,0.04,2019,-22.328474,24.684866,1.041,0.538,0.1
Syria,0.04,2019,34.802075,38.996815,0.619,0.44,0.141
Malawi,0.04,2019,-13.254308,34.301525,0.191,0.495,0.089
Yemen,0.03,2019,15.552727,48.516388,0.287,0.463,0.077
Rwanda,0.03,2019,-1.940278,29.873888,0.359,0.614,0.411
Tanzania,0.02,2019,-6.369028,34.888822,0.476,0.499,0.147
Afghanistan,0.02,2019,33.93911,67.709953,0.35,0.361,0.025
Central African Republic,0.01,2019,6.611111,20.939444,0.026,0.105,0.035
Finland,1.0,2018,61.92411,25.748151,1.305,0.874,0.393
Norway,0.98,2018,60.472024,8.468946,1.456,0.861,0.34
Denmark,0.97,2018,56.26392,9.501785,1.351,0.868,0.408
Iceland,0.94,2018,64.963051,-19.020835,1.343,0.914,0.138
Switzerland,0.94,2018,46.818188,8.227512,1.42,0.927,0.357
Netherlands,0.92,2018,52.132633,5.291266,1.361,0.878,0.295
Canada,0.88,2018,56.130366,-106.346771,1.33,0.896,0.291
New Zealand,0.88,2018,-40.900557,174.885971,1.268,0.876,0.389
Sweden,0.87,2018,60.128161,18.643501,1.355,0.913,0.383
Australia,0.86,2018,-25.274398,133.775136,1.34,0.91,0.302
United Kingdom,0.83,2018,55.378051,-3.435973,1.244,0.888,0.082
Austria,0.81,2018,47.516231,14.550072,1.341,0.891,0.224
Costa Rica,0.78,2018,9.748917,-83.753428,1.01,0.817,0.101
Ireland,0.75,2018,53.41291,-8.24389,1.448,0.876,0.306
Germany,0.75,2018,51.165691,10.451526,1.34,0.861,0.28
Belgium,0.73,2018,50.503887,4.469936,1.324,0.894,0.24
Luxembourg,0.73,2018,49.815273,6.129583,1.576,0.896,0.321
United States,0.72,2018,37.09024,-95.712891,1.398,0.819,0.133
Israel,0.69,2018,31.046051,34.851612,1.301,0.883,0.272
United Arab Emirates,0.68,2018,23.424076,53.847818,2.096,0.67,
Czech Republic,0.66,2018,49.817492,15.472962,1.233,0.854,0.034
Malta,0.63,2018,35.937496,14.375416,1.27,0.884,0.142
France,0.59,2018,46.227638,2.213749,1.293,0.908,0.176
Mexico,0.59,2018,23.634501,-102.552784,1.038,0.761,0.095
Chile,0.59,2018,-35.675147,-71.542969,1.131,0.808,0.061
Taiwan,0.58,2018,23.69781,120.960515,1.365,0.857,0.078
Panama,0.57,2018,8.537981,-80.782127,1.112,0.759,0.063
Brazil,0.57,2018,-14.235004,-51.92528,0.986,0.675,0.088
Argentina,0.56,2018,-38.416097,-63.616672,1.073,0.744,0.054
Guatemala,0.56,2018,15.783471,-90.230759,0.781,0.608,0.071
Uruguay,0.56,2018,-32.522779,-55.765835,1.093,0.771,0.155
Qatar,0.56,2018,25.354826,51.183884,1.649,0.748,0.171
Saudi Arabia,0.56,2018,23.885942,45.079162,1.379,0.633,0.127
Singapore,0.55,2018,1.352083,103.819836,1.529,1.008,0.457
Malaysia,0.54,2018,4.210484,101.975766,1.161,0.669,0.059
Spain,0.54,2018,40.463667,-3.74922,1.251,0.965,0.074
Colombia,0.53,2018,4.570868,-74.297333,0.96,0.635,0.039
Trinidad and Tobago,0.51,2018,10.691803,-61.222503,1.223,0.564,0.019
Slovakia,0.5,2018,48.669026,19.699024,1.21,0.776,0.014
El Salvador,0.5,2018,13.794185,-88.89653,0.806,0.639,0.082
Nicaragua,0.49,2018,12.865416,-85.207229,0.668,0.7,0.128
Poland,0.49,2018,51.919438,19.145136,1.176,0.781,0.064
Bahrain,0.48,2018,25.930414,50.637772,1.338,0.698,0.123
Uzbekistan,0.48,2018,41.377491,64.585262,0.719,0.605,0.259
Kuwait,0.48,2018,29.31166,47.481766,1.474,0.675,0.106
Thailand,0.47,2018,15.870032,100.992541,1.016,0.707,0.029
Italy,0.46,2018,41.87194,12.56738,1.264,0.946,0.028
Ecuador,0.45,2018,-1.831239,-78.183406,0.889,0.736,0.12
Belize,0.44,2018,17.189877,-88.49765,0.807,0.474,0.089
Lithuania,0.44,2018,55.169438,23.881275,1.197,0.716,0.006
Slovenia,0.44,2018,46.151241,14.995463,1.219,0.856,0.051
Romania,0.44,2018,45.943161,24.96676,1.116,0.726,0.001
Latvia,0.44,2018,56.879635,24.603189,1.148,0.671,0.066
Japan,0.43,2018,36.204824,138.252924,1.294,0.988,0.15
Mauritius,0.43,2018,-20.348404,57.552152,1.09,0.684,0.05
Jamaica,0.43,2018,18.109581,-77.297508,0.819,0.693,0.031
South Korea,0.42,2018,35.907757,127.766922,1.266,0.955,0.051
Russia,0.41,2018,61.52401,105.318756,1.151,0.599,0.025
Kazakhstan,0.4,2018,48.019573,66.923684,1.143,0.631,0.121
Cyprus,0.4,2018,35.126413,33.429859,1.229,0.909,0.035
Bolivia,0.39,2018,-16.290154,-63.588653,0.751,0.508,0.054
Estonia,0.39,2018,58.595272,25.013607,1.2,0.737,0.174
Paraguay,0.38,2018,-23.442503,-58.443832,0.835,0.615,0.074
Peru,0.37,2018,-9.189967,-75.015152,0.934,0.674,0.034
Kosovo,0.37,2018,42.602636,20.902977,0.855,0.578,0.023
Moldova,0.37,2018,47.411631,28.369885,0.657,0.62,0.0
Turkmenistan,0.37,2018,38.969719,59.556278,1.016,0.517,0.037
Hungary,0.36,2018,47.162494,19.503304,1.171,0.732,0.022
Libya,0.35,2018,26.3351,17.228331,0.985,0.553,0.148
Philippines,0.34,2018,12.879721,121.774017,0.775,0.513,0.105
Honduras,0.34,2018,15.199999,-86.241905,0.62,0.622,0.074
Belarus,0.33,2018,53.709807,27.953389,1.039,0.7,0.154
Turkey,0.33,2018,38.963745,35.243322,1.148,0.686,0.109
Pakistan,0.33,2018,30.375321,69.345116,0.652,0.424,0.113
Hong Kong,0.32,2018,22.396428,114.109497,1.405,1.03,0.291
Portugal,0.32,2018,39.399872,-8.224454,1.188,0.884,0.017
Serbia,0.32,2018,44.016521,21.005859,0.975,0.685,0.043
Greece,0.31,2018,39.074208,21.824312,1.154,0.879,0.044
Lebanon,0.31,2018,33.854721,35.862285,0.965,0.785,0.136
Montenegro,0.31,2018,42.708678,19.37439,1.017,0.729,0.081
Croatia,0.3,2018,45.1,15.2,1.115,0.737,0.039
Dominican Republic,0.3,2018,18.735693,-70.162651,0.982,0.614,0.106
Algeria,0.3,2018,28.033886,1.659626,0.979,0.687,0.135
Morocco,0.29,2018,31.791702,-7.09262,0.779,0.669,0.074
China,0.29,2018,35.86166,104.195397,0.989,0.799,0.103
Azerbaijan,0.28,2018,40.143105,47.576927,1.024,0.603,0.176
Tajikistan,0.28,2018,38.861034,71.276093,0.474,0.598,0.034
Macedonia [FYROM],0.27,2018,41.608635,21.745275,0.959,0.691,0.052
Jordan,0.27,2018,30.585164,36.238414,0.822,0.645,0.134
Nigeria,0.27,2018,9.081999,8.675277,0.689,0.048,0.032
Kyrgyzstan,0.26,2018,41.20438,74.766098,0.53,0.594,0.035
Bosnia and Herzegovina,0.26,2018,43.915886,17.679076,0.915,0.758,0.0
Mongolia,0.26,2018,46.862496,103.846656,0.914,0.575,0.032
Vietnam,0.26,2018,14.058324,108.277199,0.715,0.702,0.079
Indonesia,0.26,2018,-0.789275,113.921327,0.899,0.522,0.018
Bhutan,0.25,2018,27.514162,90.433601,0.796,0.527,0.171
Somalia,0.24,2018,5.152149,46.199616,0.0,0.115,0.282
Cameroon,0.23,2018,7.369722,12.354722,0.535,0.182,0.043
Bulgaria,0.23,2018,42.733883,25.48583,1.054,0.712,0.009
Nepal,0.22,2018,28.394857,84.124008,0.425,0.539,0.078
Venezuela,0.21,2018,6.42375,-66.58973,0.996,0.657,0.052
Gabon,0.2,2018,-0.803689,11.609444,1.036,0.404,0.052
Palestinian Territories,0.2,2018,31.952162,35.233154,0.642,0.602,0.076
South Africa,0.19,2018,-30.559482,22.937506,0.94,0.33,0.056
Iran,0.19,2018,32.427908,53.688046,1.059,0.691,0.129
C?te d'Ivoire,0.18,2018,7.539989,-5.54708,0.541,0.08,0.103
Ghana,0.18,2018,7.946527,-1.023194,0.592,0.337,0.029
Senegal,0.18,2018,14.497401,-14.452362,0.429,0.433,0.082
Laos,0.18,2018,19.85627,102.495496,0.72,0.441,0.174
Tunisia,0.17,2018,33.886917,9.537499,0.9,0.69,0.063
Albania,0.17,2018,41.153332,20.168331,0.916,0.79,0.032
Sierra Leone,0.17,2018,8.460555,-11.779889,0.256,0.0,0.053
Congo [Republic],0.17,2018,-0.228021,15.827659,0.682,0.343,0.077
Bangladesh,0.16,2018,23.684994,90.356331,0.532,0.579,0.144
Sri Lanka,0.15,2018,7.873054,80.771797,0.918,0.672,0.05
Iraq,0.15,2018,33.223191,43.679291,1.01,0.536,0.095
Mali,0.15,2018,17.570692,-3.996166,0.37,0.152,0.056
Namibia,0.15,2018,-22.95764,18.49041,0.874,0.365,0.064
Cambodia,0.15,2018,12.565679,104.990963,0.549,0.457,0.065
Burkina Faso,0.15,2018,12.238333,-1.561593,0.314,0.254,0.128
Egypt,0.15,2018,26.820553,30.802498,0.885,0.553,0.107
Mozambique,0.15,2018,-18.665695,35.529562,0.198,0.173,0.158
Kenya,0.15,2018,-0.023559,37.906193,0.493,0.454,0.055
Zambia,0.14,2018,-13.133897,27.849332,0.562,0.295,0.082
Mauritania,0.14,2018,21.00789,-10.940835,0.557,0.292,0.093
Ethiopia,0.14,2018,9.145,40.489673,0.308,0.391,0.146
Georgia,0.14,2018,42.315407,43.356892,0.853,0.643,0.215
Armenia,0.13,2018,40.069099,45.038189,0.816,0.666,0.028
Myanmar [Burma],0.13,2018,21.913965,95.956223,0.682,0.429,0.178
Chad,0.13,2018,15.454166,18.732207,0.358,0.053,0.06
Congo [DRC],0.12,2018,-4.038333,21.758664,0.069,0.204,0.052
India,0.12,2018,20.593684,78.96288,0.721,0.485,0.093
Niger,0.11,2018,17.607789,8.081666,0.131,0.221,0.099
Uganda,0.11,2018,1.373333,32.290275,0.322,0.237,0.061
Benin,0.11,2018,9.30769,2.315834,0.378,0.24,0.067
Sudan,0.11,2018,12.862807,30.217636,0.605,0.312,0.082
Ukraine,0.11,2018,48.379433,31.16558,0.793,0.609,0.011
Togo,0.09,2018,8.619543,0.824782,0.259,0.253,0.101
Guinea,0.09,2018,9.945587,-9.696645,0.344,0.211,0.094
Lesotho,0.07,2018,-29.609988,28.233608,0.472,0.079,0.112
Angola,0.07,2018,-11.202692,17.873887,0.73,0.269,0.061
Madagascar,0.07,2018,-18.766947,46.869107,0.262,0.402,0.049
Zimbabwe,0.06,2018,-19.015438,29.154857,0.357,0.248,0.099
Afghanistan,0.06,2018,33.93911,67.709953,0.332,0.255,0.036
Botswana,0.05,2018,-22.328474,24.684866,1.017,0.417,0.092
Malawi,0.05,2018,-13.254308,34.301525,0.186,0.306,0.08
Haiti,0.05,2018,18.971187,-72.285215,0.315,0.289,0.104
Liberia,0.04,2018,6.428055,-9.429499,0.076,0.267,0.03
Syria,0.04,2018,34.802075,38.996815,0.689,0.539,0.144
Rwanda,0.04,2018,-1.940278,29.873888,0.332,0.4,0.444
Yemen,0.03,2018,15.552727,48.516388,0.442,0.343,0.064
Tanzania,0.03,2018,-6.369028,34.888822,0.455,0.381,0.097
Central African Republic,0.01,2018,6.611111,20.939444,0.024,0.01,0.038
Burundi,0.0,2018,-3.373056,29.918886,0.091,0.145,0.076
Norway,1.0,2017,60.472024,8.468946,1.61646318435669,0.796666502952576,0.315963834524155
Denmark,0.99,2017,56.26392,9.501785,1.48238301277161,0.792565524578094,0.40077006816864
Iceland,0.99,2017,64.963051,-19.020835,1.480633020401,0.833552122116089,0.153526559472084
Switzerland,0.98,2017,46.818188,8.227512,1.56497955322266,0.858131289482117,0.367007285356522
Finland,0.97,2017,61.92411,25.748151,1.44357192516327,0.80915766954422,0.38261154294014
Netherlands,0.93,2017,52.132633,5.291266,1.50394463539124,0.810696125030518,0.282661825418472
Canada,0.91,2017,56.130366,-106.346771,1.47920441627502,0.83455765247345,0.287371516227722
New Zealand,0.91,2017,-40.900557,174.885971,1.40570604801178,0.816759705543518,0.382816702127457
Sweden,0.9,2017,60.128161,18.643501,1.49438726902008,0.830875158309937,0.384398728609085
Australia,0.9,2017,-25.274398,133.775136,1.484414935112,0.84388679265976,0.301183730363846
Israel,0.87,2017,31.046051,34.851612,1.37538242340088,0.83840399980545,0.0852421000599861
Costa Rica,0.82,2017,9.748917,-83.753428,1.10970628261566,0.759509265422821,0.100106589496136
Austria,0.79,2017,47.516231,14.550072,1.48709726333618,0.815328419208527,0.221060365438461
United States,0.79,2017,37.09024,-95.712891,1.54625928401947,0.77428662776947,0.135638788342476
Ireland,0.78,2017,53.41291,-8.24389,1.53570663928986,0.80978262424469,0.29838815331459
Germany,0.77,2017,51.165691,10.451526,1.48792338371277,0.798950731754303,0.276731938123703
Belgium,0.75,2017,50.503887,4.469936,1.46378076076508,0.818091869354248,0.251343131065369
Luxembourg,0.74,2017,49.815273,6.129583,1.74194359779358,0.845089495182037,0.31883442401886
United Kingdom,0.69,2017,55.378051,-3.435973,1.44163393974304,0.805335938930511,0.265428066253662
Chile,0.67,2017,-35.675147,-71.542969,1.25278460979462,0.819479703903198,0.0822879821062088
United Arab Emirates,0.67,2017,23.424076,53.847818,1.62634336948395,0.726798236370087,0.324489563703537
Brazil,0.67,2017,-14.235004,-51.92528,1.10735321044922,0.616552352905273,0.111092761158943
Czech Republic,0.66,2017,49.817492,15.472962,1.35268235206604,0.754444003105164,0.0368729270994663
Argentina,0.66,2017,-38.416097,-63.616672,1.18529546260834,0.695137083530426,0.059739887714386
Mexico,0.65,2017,23.634501,-102.552784,1.15318381786346,0.709978997707367,0.132774114608765
Singapore,0.65,2017,1.352083,103.819836,1.69227766990662,0.949492394924164,0.46430778503418
Malta,0.63,2017,35.937496,14.375416,1.34327983856201,0.821944236755371,0.153066068887711
Uruguay,0.61,2017,-32.522779,-55.765835,1.21755969524384,0.719216823577881,0.178061872720718
Guatemala,0.61,2017,15.783471,-90.230759,0.872001945972443,0.540239989757538,0.0772232785820961
Panama,0.61,2017,8.537981,-80.782127,1.23374843597412,0.706156134605408,0.070983923971653
France,0.61,2017,46.227638,2.213749,1.43092346191406,0.844465851783752,0.172502428293228
Thailand,0.6,2017,15.870032,100.992541,1.12786877155304,0.647239029407501,0.0316127352416515
Taiwan,0.6,2017,23.69781,120.960515,1.43362653255463,0.793984234333038,0.0638292357325554
Spain,0.59,2017,40.463667,-3.74922,1.38439786434174,0.888960599899292,0.0709140971302986
Qatar,0.59,2017,25.354826,51.183884,1.87076568603516,0.710098087787628,0.439299255609512
Colombia,0.58,2017,4.570868,-74.297333,1.07062232494354,0.595027923583984,0.0466687418520451
Saudi Arabia,0.58,2017,23.885942,45.079162,1.53062355518341,0.590148329734802,0.27343225479126
Trinidad and Tobago,0.53,2017,10.691803,-61.222503,1.36135590076447,0.519983291625977,0.0089648161083459
Kuwait,0.51,2017,29.31166,47.481766,1.63295245170593,0.632105708122253,0.215159550309181
Slovakia,0.51,2017,48.669026,19.699024,1.32539355754852,0.712732911109924,0.0242108516395092
Bahrain,0.5,2017,25.930414,50.637772,1.48841226100922,0.653133034706116,0.257042169570923
Malaysia,0.5,2017,4.210484,101.975766,1.29121541976929,0.618784427642822,0.0656007081270218
Nicaragua,0.5,2017,12.865416,-85.207229,0.737299203872681,0.653095960617065,0.130687981843948
Ecuador,0.48,2017,-1.831239,-78.183406,1.00082039833069,0.685636222362518,0.140134647488594
El Salvador,0.48,2017,13.794185,-88.89653,0.909784495830536,0.596018552780151,0.0899809598922729
Poland,0.47,2017,51.919438,19.145136,1.29178786277771,0.699475347995758,0.0593078061938286
Uzbekistan,0.47,2017,41.377491,64.585262,0.786441087722778,0.498272627592087,0.246528223156929
Italy,0.47,2017,41.87194,12.56738,1.39506661891937,0.853144347667694,0.0280280914157629
Russia,0.47,2017,61.52401,105.318756,1.28177809715271,0.547349333763123,0.0329628810286522
Belize,0.47,2017,17.189877,-88.49765,0.907975316047668,0.450191766023636,0.0965810716152191
Japan,0.46,2017,36.204824,138.252924,1.41691517829895,0.913475871086121,0.163760736584663
Lithuania,0.46,2017,55.169438,23.881275,1.31458234786987,0.62894994020462,0.0118656428530812
Algeria,0.45,2017,28.033886,1.659626,1.09186446666718,0.617584645748138,0.146096110343933
Latvia,0.44,2017,56.879635,24.603189,1.26074862480164,0.638566970825195,0.0738427266478539
South Korea,0.44,2017,35.907757,127.766922,1.40167844295502,0.900214076042175,0.0632826685905457
Moldova,0.44,2017,47.411631,28.369885,0.728870630264282,0.589465200901031,0.0100912861526012
Romania,0.44,2017,45.943161,24.96676,1.21768391132355,0.685158312320709,0.00438790069893
Bolivia,0.44,2017,-16.290154,-63.588653,0.833756566047668,0.473630249500275,0.0604777261614799
Turkmenistan,0.44,2017,38.969719,59.556278,1.13077676296234,0.437726080417633,0.259270340204239
Kazakhstan,0.43,2017,48.019573,66.923684,1.28455626964569,0.606041550636292,0.119282886385918
Slovenia,0.42,2017,46.151241,14.995463,1.3412059545517,0.790828227996826,0.0451289787888527
Peru,0.41,2017,-9.189967,-75.015152,1.03522527217865,0.630166113376617,0.0470490865409374
Mauritius,0.39,2017,-20.348404,57.552152,1.18939554691315,0.638007462024689,0.0421815551817417
Cyprus,0.39,2017,35.126413,33.429859,1.35593807697296,0.84471470117569,0.0412379764020443
Estonia,0.38,2017,58.595272,25.013607,1.32087934017181,0.695168316364288,0.183248922228813
Belarus,0.37,2017,53.709807,27.953389,1.15655755996704,0.637714266777039,0.156313821673393
Libya,0.36,2017,26.3351,17.228331,1.10180306434631,0.520169019699097,0.0926102101802826
Turkey,0.36,2017,38.963745,35.243322,1.19827437400818,0.637605607509613,0.0996715798974037
Paraguay,0.36,2017,-23.442503,-58.443832,0.932537317276001,0.579250693321228,0.091065913438797
Philippines,0.34,2017,12.879721,121.774017,0.85769921541214,0.468009054660797,0.0993318930268288
Serbia,0.34,2017,44.016521,21.005859,1.06931757926941,0.65078467130661,0.0409037806093693
Jordan,0.32,2017,30.585164,36.238414,0.991012394428253,0.604590058326721,0.11980327218771
Hungary,0.32,2017,47.162494,19.503304,1.2860119342804,0.687763452529907,0.0366369374096394
Jamaica,0.32,2017,18.109581,-77.297508,0.925579309463501,0.641022384166718,0.0552677810192108
Croatia,0.32,2017,45.1,15.2,1.22255623340607,0.701288521289825,0.0431031100451946
Kosovo,0.31,2017,42.602636,20.902977,0.951484382152557,0.541452050209045,0.0574716180562973
China,0.31,2017,35.86166,104.195397,1.08116579055786,0.741415500640869,0.0227942746132612
Pakistan,0.31,2017,30.375321,69.345116,0.72688353061676,0.402047783136368,0.124348066747189
Indonesia,0.31,2017,-0.789275,113.921327,0.995538592338562,0.492345720529556,0.0153171354904771
Venezuela,0.31,2017,6.42375,-66.58973,1.12843120098114,0.617144227027893,0.0644911229610443
Montenegro,0.3,2017,42.708678,19.37439,1.12112903594971,0.667464673519135,0.0881741940975189
Morocco,0.3,2017,31.791702,-7.09262,0.878114581108093,0.59771066904068,0.0877631828188896
Azerbaijan,0.3,2017,40.143105,47.576927,1.15360176563263,0.540775775909424,0.180987507104874
Dominican Republic,0.3,2017,18.735693,-70.162651,1.07937383651733,0.574873745441437,0.113945253193378
Greece,0.3,2017,39.074208,21.824312,1.28948748111725,0.810198903083801,0.04328977689147
Lebanon,0.3,2017,33.854721,35.862285,1.07498753070831,0.735081076622009,0.037513829767704
Portugal,0.3,2017,39.399872,-8.224454,1.3151752948761,0.795843541622162,0.0158694516867399
Bosnia and Herzegovina,0.29,2017,43.915886,17.679076,0.982409417629242,0.705186307430267,0.0
Honduras,0.29,2017,15.199999,-86.241905,0.730573117733002,0.582569479942322,0.0733454525470734
Macedonia [FYROM],0.29,2017,41.608635,21.745275,1.06457793712616,0.644948184490204,0.0602777935564518
Somalia,0.29,2017,5.152149,46.199616,0.0226431842893362,0.113989137113094,0.282410323619843
Vietnam,0.27,2017,14.058324,108.277199,0.788547575473785,0.652168989181519,0.0876332372426987
Nigeria,0.27,2017,9.081999,8.675277,0.783756256103516,0.0569157302379608,0.0261215660721064
Tajikistan,0.27,2017,38.861034,71.276093,0.524713635444641,0.529235124588013,0.146377146244049
Bhutan,0.26,2017,27.514162,90.433601,0.885416388511658,0.495879292488098,0.173380389809608
Kyrgyzstan,0.26,2017,41.20438,74.766098,0.596220076084137,0.553457796573639,0.0394391790032387
Nepal,0.25,2017,28.394857,84.124008,0.479820191860199,0.504130780696869,0.0729755461215973
Mongolia,0.25,2017,46.862496,103.846656,1.02723586559296,0.557783484458923,0.0329022891819477
South Africa,0.23,2017,-30.559482,22.937506,1.05469870567322,0.187080070376396,0.0725094974040985
Tunisia,0.22,2017,33.886917,9.537499,1.00726580619812,0.613212049007416,0.0867231488227844
Palestinian Territories,0.22,2017,31.952162,35.233154,0.716249227523804,0.565666973590851,0.0892826020717621
Egypt,0.21,2017,26.820553,30.802498,0.989701807498932,0.520187258720398,0.114381365478039
Bulgaria,0.21,2017,42.733883,25.48583,1.1614590883255,0.708217680454254,0.0110515309497714
Sierra Leone,0.21,2017,8.460555,-11.779889,0.36842092871666,0.0055647538974881,0.0710951760411263
Cameroon,0.21,2017,7.369722,12.354722,0.564305365085602,0.132892116904259,0.0513066314160824
Iran,0.2,2017,32.427908,53.688046,1.15687310695648,0.639333188533783,0.048761073499918
Albania,0.2,2017,41.153332,20.168331,0.996192753314972,0.731159746646881,0.0398642159998417
Bangladesh,0.19,2017,23.684994,90.356331,0.586682975292206,0.533241033554077,0.123717859387398
Namibia,0.19,2017,-22.95764,18.49041,0.964434325695038,0.33861181139946,0.0931469723582268
Kenya,0.18,2017,-0.023559,37.906193,0.560479462146759,0.309988349676132,0.0646413192152977
Mozambique,0.18,2017,-18.665695,35.529562,0.234305649995804,0.106654435396194,0.179436385631561
Myanmar [Burma],0.18,2017,21.913965,95.956223,0.367110550403595,0.397522568702698,0.188816204667091
Senegal,0.18,2017,14.497401,-14.452362,0.479309022426605,0.409362852573395,0.115460447967052
Zambia,0.18,2017,-13.133897,27.849332,0.636406779289246,0.257835894823074,0.0782135501503944
Iraq,0.17,2017,33.223191,43.679291,1.10271048545837,0.501180469989777,0.107215754687786
Gabon,0.17,2017,-0.803689,11.609444,1.1982102394104,0.356578588485718,0.0760467872023582
Ethiopia,0.17,2017,9.145,40.489673,0.339233845472336,0.353409707546234,0.165455713868141
